revision_id,revision_timestamp,building_id,forward_patch,reverse_patch,user
139303,2023-07-03 09:34:53+02,41199,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139304,2023-07-03 09:34:55+02,40745,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139305,2023-07-03 09:34:58+02,32588,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139306,2023-07-03 09:35:12+02,83614,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139307,2023-07-03 09:35:13+02,82368,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139308,2023-07-03 09:35:14+02,82356,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139309,2023-07-03 09:35:15+02,82515,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139310,2023-07-03 09:35:16+02,83057,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139311,2023-07-03 09:35:16+02,83572,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139312,2023-07-03 09:35:17+02,82112,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139313,2023-07-03 09:35:18+02,81849,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139314,2023-07-03 09:35:18+02,81931,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139315,2023-07-03 09:35:19+02,83421,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139316,2023-07-03 09:35:20+02,82519,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139317,2023-07-03 09:35:21+02,81815,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139318,2023-07-03 09:35:22+02,81818,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139319,2023-07-03 09:35:23+02,81817,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139320,2023-07-03 09:35:25+02,81819,"{""is_domestic"": ""Nichtwohngebäude""}","{""is_domestic"": null}",jugendstil_gesucht
139321,2023-07-03 12:34:04+02,40757,"{""date_lower"": 1726}","{""date_lower"": null}",deleted_683fe4e7-a3cf
139322,2023-07-03 12:34:19+02,40757,"{""date_lower"": null}","{""date_lower"": 1726}",deleted_683fe4e7-a3cf
139323,2023-07-03 12:34:50+02,40757,"{""date_source"": ""Expertenwissen zum Gebäude""}","{""date_source"": null}",deleted_683fe4e7-a3cf
139324,2023-07-03 12:35:01+02,40757,"{""date_source"": null}","{""date_source"": ""Expertenwissen zum Gebäude""}",deleted_683fe4e7-a3cf
274998,2023-07-04 00:18:42+02,42154,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
274999,2023-07-04 00:18:42+02,42394,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
275000,2023-07-04 00:18:43+02,43750,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
275001,2023-07-04 00:18:44+02,43684,"{""building_attachment_form"": ""Häuserreihe (innerhalb)""}","{""building_attachment_form"": null}",jugendstil_gesucht
275002,2023-07-04 08:05:32+02,61056,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275003,2023-07-04 08:05:38+02,42489,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275004,2023-07-04 08:05:40+02,43115,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275005,2023-07-04 08:05:42+02,44216,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275006,2023-07-04 08:05:42+02,42470,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275007,2023-07-04 08:05:45+02,42314,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275008,2023-07-04 08:05:45+02,44418,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275009,2023-07-04 08:05:48+02,41764,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275010,2023-07-04 08:05:50+02,42930,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275011,2023-07-04 08:05:51+02,44006,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275012,2023-07-04 08:05:52+02,41627,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275013,2023-07-04 08:05:53+02,43604,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275014,2023-07-04 08:05:55+02,43249,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275015,2023-07-04 08:05:56+02,42043,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275016,2023-07-04 08:05:58+02,41964,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275017,2023-07-04 08:06:00+02,42989,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275018,2023-07-04 08:06:01+02,43560,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
